iter	Passed	Remaining
582	3958	2831
583	3965	2824
584	3971	2817
585	3978	2811
586	3985	2804
587	3992	2797
588	3999	2790
589	4005	2783
590	4012	2777
591	4019	2770
592	4026	2763
593	4033	2756
594	4039	2749
595	4046	2743
596	4053	2736
597	4060	2729
598	4066	2722
599	4073	2715
600	4080	2708
601	4086	2701
602	4093	2694
603	4099	2688
604	4106	2681
605	4113	2674
606	4119	2667
607	4126	2660
608	4133	2653
609	4139	2646
610	4146	2640
611	4153	2633
612	4160	2626
613	4167	2619
614	4173	2612
615	4180	2606
616	4187	2599
617	4193	2592
618	4200	2585
619	4206	2578
620	4213	2571
621	4219	2564
622	4226	2557
623	4233	2551
624	4240	2544
625	4246	2537
626	4253	2530
627	4260	2523
628	4266	2516
629	4273	2509
630	4280	2503
631	4286	2496
632	4293	2489
633	4300	2482
634	4306	2475
635	4313	2468
636	4320	2462
637	4327	2455
638	4334	2448
639	4340	2441
640	4347	2434
641	4354	2428
642	4360	2421
643	4367	2414
644	4374	2407
645	4381	2400
646	4387	2394
647	4394	2387
648	4400	2380
649	4407	2373
650	4414	2366
651	4421	2359
652	4427	2352
653	4434	2346
654	4440	2339
655	4447	2332
656	4454	2325
657	4460	2318
658	4467	2311
659	4474	2304
660	4480	2298
661	4487	2291
662	4494	2284
663	4500	2277
664	4507	2270
665	4514	2264
666	4521	2257
667	4527	2250
668	4534	2243
669	4540	2236
670	4547	2229
671	4554	2223
672	4561	2216
673	4567	2209
674	4574	2202
675	4581	2195
676	4588	2188
677	4594	2182
678	4601	2175
679	4608	2168
680	4614	2161
681	4621	2155
682	4628	2148
683	4635	2141
684	4641	2134
685	4648	2127
686	4655	2121
687	4662	2114
688	4669	2107
689	4675	2100
690	4682	2093
691	4689	2087
692	4694	2079
693	4699	2071
694	4705	2064
695	4711	2058
696	4718	2051
697	4725	2044
698	4732	2037
699	4738	2030
700	4745	2024
701	4752	2017
702	4758	2010
703	4765	2003
704	4772	1996
705	4779	1990
706	4785	1983
707	4792	1976
708	4799	1969
709	4806	1963
710	4812	1956
711	4819	1949
712	4825	1942
713	4832	1935
714	4839	1929
715	4846	1922
716	4853	1915
717	4859	1908
718	4866	1901
719	4873	1895
720	4880	1888
721	4886	1881
722	4893	1874
723	4900	1868
724	4906	1861
725	4913	1854
726	4920	1847
727	4926	1840
728	4933	1833
729	4940	1827
730	4947	1820
731	4953	1813
732	4960	1806
733	4967	1800
734	4973	1793
735	4980	1786
736	4987	1779
737	4994	1772
738	5000	1766
739	5007	1759
740	5014	1752
741	5021	1745
742	5027	1739
743	5034	1732
744	5040	1725
745	5047	1718
746	5054	1711
747	5060	1705
748	5067	1698
749	5074	1691
750	5080	1684
751	5087	1677
752	5094	1671
753	5101	1664
754	5107	1657
755	5114	1650
756	5121	1643
757	5128	1637
758	5134	1630
759	5141	1623
760	5148	1616
761	5155	1610
762	5161	1603
763	5168	1596
764	5175	1589
765	5181	1582
766	5188	1576
767	5195	1569
768	5202	1562
769	5209	1555
770	5215	1549
771	5222	1542
772	5229	1535
773	5235	1528
774	5242	1522
775	5249	1515
776	5256	1508
777	5263	1501
778	5269	1495
779	5276	1488
780	5283	1481
781	5290	1474
782	5296	1467
783	5303	1461
784	5310	1454
785	5316	1447
786	5323	1440
787	5330	1434
788	5336	1427
789	5343	1420
790	5350	1413
791	5357	1406
792	5363	1400
793	5370	1393
794	5377	1386
795	5384	1379
796	5391	1373
797	5397	1366
798	5404	1359
799	5411	1352
800	5417	1345
801	5424	1339
802	5431	1332
803	5437	1325
804	5444	1318
805	5451	1312
806	5457	1305
807	5464	1298
808	5471	1291
809	5478	1285
810	5484	1278
811	5491	1271
812	5497	1264
813	5504	1257
814	5511	1250
815	5517	1244
816	5524	1237
817	5531	1230
818	5538	1223
819	5544	1217
820	5551	1210
821	5558	1203
822	5564	1196
823	5571	1190
824	5578	1183
825	5584	1176
826	5591	1169
827	5598	1162
828	5605	1156
829	5611	1149
830	5616	1142
831	5623	1135
832	5630	1128
833	5637	1122
834	5643	1115
835	5650	1108
836	5657	1101
837	5663	1094
838	5669	1088
839	5676	1081
840	5682	1074
841	5687	1067
842	5694	1060
843	5701	1053
844	5707	1047
845	5712	1039
846	5717	1032
847	5723	1025
848	5728	1018
849	5733	1011
850	5737	1004
851	5742	997
852	5749	990
853	5756	984
854	5763	977
855	5769	970
856	5776	963
857	5783	957
858	5789	950
859	5796	943
860	5803	936
861	5810	930
862	5816	923
863	5823	916
864	5830	909
865	5837	903
866	5844	896
867	5850	889
868	5857	882
869	5864	876
870	5871	869
871	5878	862
872	5885	856
873	5892	849
874	5898	842
875	5905	835
876	5912	829
877	5918	822
878	5925	815
879	5932	808
880	5938	802
881	5945	795
882	5951	788
883	5958	781
884	5965	775
885	5971	768
886	5976	761
887	5983	754
888	5988	747
889	5994	740
890	6001	734
891	6007	727
892	6014	720
893	6021	713
894	6026	706
895	6031	700
896	6036	693
897	6041	686
898	6046	679
899	6053	672
900	6060	665
901	6066	659
902	6073	652
903	6080	645
904	6086	638
905	6091	632
906	6098	625
907	6105	618
908	6111	611
909	6118	605
910	6124	598
911	6131	591
912	6137	584
913	6144	578
914	6151	571
915	6158	564
916	6163	557
917	6170	551
918	6177	544
919	6183	537
920	6190	530
921	6196	524
922	6201	517
923	6206	510
924	6211	503
925	6216	496
926	6221	489
927	6226	483
928	6231	476
929	6236	469
930	6241	462
931	6246	455
932	6251	448
933	6256	442
934	6261	435
935	6266	428
936	6271	421
937	6276	414
938	6281	408
939	6286	401
940	6291	394
941	6296	387
942	6301	380
943	6306	374
944	6311	367
945	6316	360
946	6322	353
947	6327	347
948	6332	340
949	6337	333
950	6342	326
951	6347	320
952	6352	313
953	6357	306
954	6362	299
955	6367	293
956	6372	286
957	6377	279
958	6382	272
959	6387	266
960	6392	259
961	6397	252
962	6402	245
963	6407	239
964	6412	232
965	6416	225
966	6421	219
967	6427	212
968	6434	205
969	6441	199
970	6445	192
971	6450	185
972	6456	179
973	6460	172
974	6466	165
975	6471	159
976	6475	152
977	6481	145
978	6485	139
979	6490	132
980	6495	125
981	6500	119
982	6505	112
983	6512	105
984	6519	99
985	6526	92
986	6532	86
987	6539	79
988	6546	72
989	6553	66
990	6559	59
991	6566	52
992	6573	46
993	6580	39
994	6586	33
995	6593	26
996	6598	19
997	6605	13
998	6612	6
999	6618	0
